Fördernehmer_in,eindeutige Nummer des Digitalisats,Analogfilm,3D,Sonstige,Ressourcenadresse,Titel des Digitalisats,Kommentar (optional),Kontextadresse,Kommentar (optional)
Franziskanerkloster Graz,A-Gf_A63_51-008r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23BA-3@format=tif,A-Gf_A63_51-008r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-008r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-008r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-008v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23BB-2@format=tif,A-Gf_A63_51-008v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-008v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-008v.tif,
Franziskanerkloster Graz,A-Gf_A63_51-009r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23BC-1@format=tif,A-Gf_A63_51-009r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-009r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-009r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-009v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23BD-0@format=tif,A-Gf_A63_51-009v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-009v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-009v.tif,
Franziskanerkloster Graz,A-Gf_A63_51-010r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23BE-F@format=tif,A-Gf_A63_51-010r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-010r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-010r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-010v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23BF-E@format=tif,A-Gf_A63_51-010v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-010v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-010v.tif,
Franziskanerkloster Graz,A-Gf_A63_51-011r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23C0-B@format=tif,A-Gf_A63_51-011r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-011r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-011r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-011v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23C1-A@format=tif,A-Gf_A63_51-011v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-011v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-011v.tif,
Franziskanerkloster Graz,A-Gf_A63_51-012r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23C2-9@format=tif,A-Gf_A63_51-012r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-012r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-012r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-012v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23C3-8@format=tif,A-Gf_A63_51-012v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-012v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-012v.tif,
